Platform, Instrument, Paramenter, Units, Date, Value, QC value 
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-09 04:00:00, 37.577, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-09 05:00:00, 37.585, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-09 06:00:00, 37.593, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-09 07:00:00, 37.591, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-09 08:00:00, 37.583, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-09 09:00:00, 37.582, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-09 10:00:00, 37.572, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-09 11:00:00, 37.565, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-10 12:00:00, 37.562, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-10 01:00:00, 37.565, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-10 02:00:00, 37.567, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-10 03:00:00, 37.573, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-10 04:00:00, 37.577, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-10 05:00:00, 37.581, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-10 06:00:00, 37.584, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-10 07:00:00, 37.585, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-10 08:00:00, 37.586, 1.0
Buoy_CanalDeIbiza, SCB-SBE37006, sea_water_salinity, psu, 2015-12-10 09:00:00, 37.583, 1.0
